analysis_id,September to october ,Env,SourceSink,id
mar-apr,R-08-R,Apr. river,sink,2
mar-apr,R-05-R,Jan. river,source,2
mar-apr,R-07-gw,Mar. groundwater,source,2
mar-apr,R-06-gw,Feb. groundwater,source,2
mar-apr,R-05-gw,Jan. groundwater,source,2
mar-apr,R-07-sn,Mar. snow,source,2
mar-apr,R-06-sn,Feb. snow,source,2
mar-apr,R-05-sn,Jan. snow,source,2
mar-apr,SL-08-R,Apr. river,sink,1
mar-apr,SL-07-R,Mar. river,source,1
mar-apr,SL-05-R,Jan. river,source,1
mar-apr,SL-07-gw,Mar. groundwater,source,1
mar-apr,SL-06-gw,Feb. groundwater,source,1
mar-apr,SL-05-gw,Jan. groundwater,source,1
mar-apr,SL-07-sn,Mar. snow,source,1
mar-apr,SL-06-sn,Feb. snow,source,1
mar-apr,SL-05-sn,Jan. snow,source,1
,,,,
,April to May,,,
apr-May,SampleID,Env,SourceSink,id
apr-May,R-09-R,May. river,sink,2
apr-May,R-08-R,Apr. river,source,2
apr-May,R-08-gw,Apr. groundwater,source,2
apr-May,R-07-gw,Mar. groundwater,source,2
apr-May,R-06-gw,Feb. groundwater,source,2
apr-May,R-07-sn,Mar. snow,source,2
apr-May,R-06-sn,Feb. snow,source,2
apr-May,SL-09-R,May. river,sink,1
apr-May,SL-08-R,Apr. river,source,1
apr-May,SL-07-R,Mar. river,source,1
apr-May,SL-08-gw,Apr. groundwater,source,1
apr-May,SL-07-gw,Mar. groundwater,source,1
apr-May,SL-06-gw,Feb. groundwater,source,1
apr-May,SL-07-sn,Mar. snow,source,1
apr-May,SL-06-sn,Feb. snow,source,1
apr-May,SL-08-dF,April. discharge-forest,source,1
apr-May,SL-08-dR1,April. discharge-river,source,1
,,,,
,May to June,,,
May-June,SampleID,Env,SourceSink,id
May-June,R-10-R,June. river,sink,2
May-June,R-09-R,May. river,source,2
May-June,R-08-R,Apr. river,source,2
May-June,R-09-gw,May. groundwater,source,2
May-June,R-08-gw,Apr. groundwater,source,2
May-June,R-07-gw,Mar. groundwater,source,2
May-June,R-07-sn,Mar. snow,source,2
May-June,SL-10-R,June. river,sink,1
May-June,SL-09-R,May. river,source,1
May-June,SL-08-R,Apr. river,source,1
May-June,SL-07-R,Mar. river,source,1
May-June,SL-09-gw,May. groundwater,source,1
May-June,SL-08-gw,Apr. groundwater,source,1
May-June,SL-07-gw,Mar. groundwater,source,1
May-June,SL-07-sn,Mar. snow,source,1
May-June,SL-08-dF,April. discharge-forest,source,1
May-June,SL-08-dR1,April. discharge,source,1
May-June,SL-09-dF,May. discharge-forest,source,1
May-June,SL-09-dR1,May. discharge-river,source,1
,,,,
,June to July,,,
June-July,SampleID,Env,SourceSink,id
June-July,R-11-R,July. river,sink,2
June-July,R-10-R,June. river,source,2
June-July,R-09-R,May. river,source,2
June-July,R-08-R,Apr. river,source,2
June-July,R-10-gw,June. groundwater,source,2
June-July,R-09-gw,May. groundwater,source,2
June-July,R-08-gw,Apr. groundwater,source,2
June-July,SL-11-R,July. river,sink,1
June-July,SL-10-R,June. river,source,1
June-July,SL-09-R,May. river,source,1
June-July,SL-08-R,Apr. river,source,1
June-July,SL-10-gw,June. groundwater,source,1
June-July,SL-09-gw,May. groundwater,source,1
June-July,SL-08-gw,Apr. groundwater,source,1
June-July,SL-08-dF,April. discharge-forest,source,1
June-July,SL-08-dR1,April. discharge,source,1
June-July,SL-09-dF,May. discharge-forest,source,1
June-July,SL-09-dR1,May. discharge-river,source,1
June-July,SL-10-dR1,June. discharge-river,source,1
,,,,
,July to august ,,,
July-aug,SampleID,Env,SourceSink,id
July-aug,R-12-R,Aug. river,sink,2
July-aug,R-11-R,July. river,source,2
July-aug,R-10-R,June. river,source,2
July-aug,R-09-R,May. river,source,2
July-aug,R-11-gw,July. groundwater,source,2
July-aug,R-10-gw,June. groundwater,source,2
July-aug,R-09-gw,May. groundwater,source,2
July-aug,SL-12-R,Aug. river,sink,1
July-aug,SL-11-R,July. river,source,1
July-aug,SL-10-R,June. river,source,1
July-aug,SL-09-R,May. river,source,1
July-aug,SL-11-gw,July. groundwater,source,1
July-aug,SL-10-gw,June. groundwater,source,1
July-aug,SL-09-gw,May. groundwater,source,1
